"Order has been canceled","Order has been canceled"
"Verification Failed","Verification Failed"
"Funded Invoice","Funded Invoice"
"Direct Invoice","Direct Invoice"
Production,Production
Sandbox,Sandbox
"Your order was not accepted","Your order was not accepted"
"Could not update status to cancelled, please check with Two admin for id %1. Error - %2","Could not update status to cancelled, please check with Two admin for id %1. Error - %2"
"Two Order marked as cancelled","Two Order marked as cancelled"
"Could not initiate refund by Two","Could not initiate refund by Two"
"Failed to refund order by Two. Amount is missing","Failed to refund order by Two. Amount is missing"
"Successfully refunded order Two admin for id %1. Refund id is %2","Successfully refunded order Two admin for id %1. Refund id is %2"
"Something went wrong. Please try again.","Something went wrong. Please try again."
"Order info was updated in two payment","Order info was updated in two payment"
"Invalid API response.","Invalid API response."
"Two New Order","Two New Order"
"Two Failed","Two Failed"
"Two Details","Two Details"
"Two Order Id","Two Order Id"
"Two Invoice","Two Invoice"
Download,Download
"Two Credit Note","Two Credit Note"
"Sign up now","Sign up now"
"The Two Payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our step by step guide at %1","The Two Payment plugin for Magento simplifies B2B shopping, making it easy and safe for merchants to offer invoices as a payment method.<br>The payment method lives next to other payment methods in your existing checkout, and offers a variety of configuration options to suit your businesses needs.<br>If you would like to know more about how to configure the plugin, check out our step by step guide at %1"
"Developed by Magmodules.","Developed by Magmodules."
"Company Name","Company Name"
"Company ID","Company ID"
"Phone Number","Phone Number"
Project,Project
Department,Department
"Place Order","Place Order"
"Something went wrong with your request. Please check your data and try again.","Something went wrong with your request. Please check your data and try again."
"Your order has been declined.","Your order has been declined."
"Risk too high.","Risk too high."
"Buyer limit exceeded.","Buyer limit exceeded."
"Buyer not found.","Buyer not found."
"Buyer address is invalid.","Buyer address is invalid."
"Buyer info in inconsistent.","Buyer info in inconsistent."
"Buyer authentication failed.","Buyer authentication failed."
Reason,Reason
"Two payments","Two payments"
Branding,Branding
General,General
Version,Version
"Enable Two payments","Enable Two payments"
Credentials,Credentials
Environment,Environment
"Two username","Two username"
"Api key","Api key"
"Payment method","Payment method"
Title,Title
"Payment settings","Payment settings"
"Choose your product","Choose your product"
"Finalize purchase when order is shipped","Finalize purchase when order is shipped"
"Pre-approve the buyer during checkout and disable Two if the buyer is declined","Pre-approve the buyer during checkout and disable Two if the buyer is declined"
"Company details","Company details"
"Enable international telephone","Enable international telephone"
"Activate company name auto-complete","Activate company name auto-complete"
"Add department field","Add department field"
"Add project field","Add project field"
